"id","homem","idade","ensino_superior","religiosidade","ocupacao","tempo_casamento","tem_filhos","satisfacao","affair"
4,1,2,1,3,7,10,0,4,0
5,0,1,0,4,6,4,0,4,0
6,1,1,1,3,4,1.5,0,4,1
11,0,2,0,1,1,15,1,4,0
12,0,1,1,3,1,4,1,5,1
16,1,3,1,5,6,15,1,5,0
23,1,1,1,2,6,0.75,0,3,0
29,0,2,1,2,5,1.5,0,5,0
43,1,2,1,5,6,15,1,2,1
44,0,1,0,2,1,0.75,0,3,0
45,1,3,0,2,4,15,1,4,0
47,0,2,1,4,1,15,1,2,0
49,1,1,0,4,4,1.5,0,5,0
50,1,2,1,2,7,15,1,2,0
53,0,2,1,3,5,10,1,2,1
55,1,1,1,4,6,4,1,4,0
64,1,3,1,5,6,15,1,4,0
67,1,1,1,4,5,0.125,0,5,1
79,0,1,0,2,1,1.5,1,5,1
80,0,1,1,2,5,1.5,0,4,0
86,0,1,0,4,5,4,0,4,0
93,0,2,1,1,5,15,1,5,0
108,0,2,1,2,4,15,1,3,0
114,0,1,1,3,5,0.75,0,4,0
115,0,1,1,2,5,1.5,0,5,0
116,0,1,0,2,1,10,1,5,0
122,1,2,0,4,5,15,1,2,1
123,0,1,1,2,5,1.5,0,5,0
126,0,1,0,2,3,1.5,0,4,1
127,0,1,1,2,5,1.5,0,5,0
129,0,1,1,4,5,10,1,4,0
133,1,2,1,2,6,15,1,4,1
134,0,2,0,3,1,10,1,5,0
137,1,2,1,2,6,4,1,4,0
138,0,2,0,4,3,15,1,2,1
139,0,1,1,2,5,1.5,0,5,0
147,0,1,1,4,1,7,0,5,0
151,1,3,1,5,6,15,1,4,0
153,1,1,1,3,5,4,1,5,0
154,0,2,0,4,4,15,1,2,1
155,0,1,1,3,5,4,1,4,0
159,0,3,1,3,1,15,1,4,1
162,1,3,1,4,6,15,1,3,0
163,0,1,1,3,5,1.5,0,5,0
165,1,1,1,4,6,0.4169999957084656,0,4,0
168,0,3,0,5,5,15,1,4,0
170,1,2,1,1,6,4,1,4,0
172,0,1,1,4,5,1.5,0,3,0
174,0,3,0,5,4,15,1,1,1
176,1,2,1,2,6,10,1,2,1
181,0,2,0,3,1,15,1,2,1
182,1,1,1,1,6,4,0,5,1
184,0,3,0,3,1,15,1,4,0
186,1,2,1,2,7,10,1,3,1
187,0,1,1,4,5,4,0,5,0
189,0,1,1,3,5,4,0,5,1
192,1,1,0,1,3,1.5,1,5,0
194,0,1,1,3,1,0.75,0,5,0
204,1,3,1,4,5,15,1,5,1
210,1,2,1,5,6,10,1,5,0
215,0,3,0,5,4,15,1,5,1
217,1,3,1,5,6,15,1,3,0
220,0,1,0,5,1,0.4169999957084656,0,4,0
224,0,1,1,2,6,4,1,1,0
227,0,2,1,5,5,7,1,3,0
228,1,1,1,3,5,4,0,5,0
232,0,1,1,3,5,4,1,4,1
233,0,1,0,5,1,7,1,4,1
239,0,1,1,4,6,7,1,5,0
241,0,3,1,2,5,15,1,4,0
245,1,1,1,4,3,1.5,1,5,0
249,1,3,1,2,6,15,1,4,0
252,1,1,1,3,5,1.5,1,4,1
253,0,1,0,4,6,7,1,2,1
262,0,1,0,5,3,0.75,0,5,0
265,1,2,1,2,6,7,1,4,0
267,1,1,1,5,6,4,1,5,0
269,1,1,1,4,6,10,1,4,0
271,1,1,1,1,5,4,0,5,0
274,0,3,1,4,5,15,1,4,1
275,0,1,0,4,7,10,1,3,1
277,0,2,0,4,3,15,1,1,0
287,1,1,1,2,5,1.5,0,2,1
288,1,2,1,4,6,4,0,4,1
290,1,1,1,5,4,1.5,1,4,0
292,0,2,1,4,1,15,1,5,0
293,0,1,1,4,5,0.75,0,4,0
295,1,2,1,4,6,10,1,4,0
299,0,3,0,5,7,15,1,2,0
320,1,2,1,3,6,10,1,4,0
321,0,1,1,2,5,0.75,0,5,0
324,1,1,1,2,4,4,0,5,0
325,0,1,0,3,1,7,1,3,1
328,0,2,0,4,1,10,1,4,1
334,1,2,1,4,6,7,0,4,0
344,1,1,1,2,7,4,1,2,1
