"data_id","treat","age","agesq","agecube","education","educationsq","black","hispanic","married","nodegree","re74","re74sq","re75","re75sq","re78","u74","u75","sample"
"Dehejia-Wahba Sample",1,37,1369,50653,11,121,1,0,1,1,0,0,0,0,9930.0458984375,1,1,1
"Dehejia-Wahba Sample",1,22,484,10648,9,81,0,1,0,1,0,0,0,0,3595.89404296875,1,1,1
"Dehejia-Wahba Sample",1,30,900,27000,12,144,1,0,0,0,0,0,0,0,24909.44921875,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,11,121,1,0,0,1,0,0,0,0,7506.14599609375,1,1,1
"Dehejia-Wahba Sample",1,33,1089,35937,8,64,1,0,0,1,0,0,0,0,289.7898864746094,1,1,1
"Dehejia-Wahba Sample",1,22,484,10648,9,81,1,0,0,1,0,0,0,0,4056.493896484375,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,12,144,1,0,0,0,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,32,1024,32768,11,121,1,0,0,1,0,0,0,0,8472.158203125,1,1,1
"Dehejia-Wahba Sample",1,22,484,10648,16,256,1,0,0,0,0,0,0,0,2164.02197265625,1,1,1
"Dehejia-Wahba Sample",1,33,1089,35937,12,144,0,0,1,0,0,0,0,0,12418.0703125,1,1,1
"Dehejia-Wahba Sample",1,19,361,6859,9,81,1,0,0,1,0,0,0,0,8173.908203125,1,1,1
"Dehejia-Wahba Sample",1,21,441,9261,13,169,1,0,0,0,0,0,0,0,17094.640625,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,8,64,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,10,100,1,0,1,1,0,0,0,0,18739.9296875,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,7,49,1,0,0,1,0,0,0,0,3023.87890625,1,1,1
"Dehejia-Wahba Sample",1,19,361,6859,10,100,1,0,0,1,0,0,0,0,3228.5029296875,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,13,169,1,0,0,0,0,0,0,0,14581.8603515625,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,10,100,1,0,0,1,0,0,0,0,7693.39990234375,1,1,1
"Dehejia-Wahba Sample",1,40,1600,64000,12,144,1,0,0,0,0,0,0,0,10804.3203125,1,1,1
"Dehejia-Wahba Sample",1,26,676,17576,12,144,1,0,0,0,0,0,0,0,10747.349609375,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,11,121,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,41,1681,68921,14,196,0,0,0,0,0,0,0,0,5149.5009765625,1,1,1
"Dehejia-Wahba Sample",1,38,1444,54872,9,81,0,0,0,1,0,0,0,0,6408.9501953125,1,1,1
"Dehejia-Wahba Sample",1,24,576,13824,11,121,1,0,0,1,0,0,0,0,1991.4000244140625,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,10,100,1,0,0,1,0,0,0,0,11163.169921875,1,1,1
"Dehejia-Wahba Sample",1,29,841,24389,11,121,1,0,1,1,0,0,0,0,9642.9990234375,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,11,121,1,0,0,1,0,0,0,0,9897.048828125,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,10,100,0,1,0,1,0,0,0,0,11142.8701171875,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,10,100,1,0,0,1,0,0,0,0,16218.0400390625,1,1,1
"Dehejia-Wahba Sample",1,24,576,13824,11,121,1,0,0,1,0,0,0,0,995.7001953125,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,10,100,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,48,2304,110592,4,16,1,0,0,1,0,0,0,0,6551.591796875,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,11,121,1,0,1,1,0,0,0,0,1574.4239501953125,1,1,1
"Dehejia-Wahba Sample",1,20,400,8000,12,144,1,0,0,0,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,12,144,1,0,0,0,0,0,0,0,3191.7529296875,1,1,1
"Dehejia-Wahba Sample",1,42,1764,74088,14,196,1,0,0,0,0,0,0,0,20505.9296875,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,5,25,1,0,0,1,0,0,0,0,6181.8798828125,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,12,144,1,0,1,0,0,0,0,0,5911.55078125,1,1,1
"Dehejia-Wahba Sample",1,46,2116,97336,8,64,1,0,1,1,0,0,0,0,3094.156005859375,1,1,1
"Dehejia-Wahba Sample",1,24,576,13824,10,100,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,21,441,9261,12,144,1,0,0,0,0,0,0,0,1254.58203125,1,1,1
"Dehejia-Wahba Sample",1,19,361,6859,9,81,0,0,0,1,0,0,0,0,13188.830078125,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,8,64,1,0,0,1,0,0,0,0,8061.48486328125,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,8,64,0,1,1,1,0,0,0,0,2787.9599609375,1,1,1
"Dehejia-Wahba Sample",1,20,400,8000,11,121,1,0,0,1,0,0,0,0,3972.5400390625,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,11,121,1,0,1,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,8,64,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,9,81,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,5,25,1,0,0,1,0,0,0,0,12187.41015625,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,12,144,1,0,0,0,0,0,0,0,4843.17578125,1,1,1
"Dehejia-Wahba Sample",1,28,784,21952,8,64,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,31,961,29791,11,121,1,0,1,1,0,0,0,0,8087.48681640625,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,11,121,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,12,144,1,0,0,0,0,0,0,0,2348.972900390625,1,1,1
"Dehejia-Wahba Sample",1,30,900,27000,11,121,1,0,1,1,0,0,0,0,590.78179931640625,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,10,100,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,37,1369,50653,9,81,1,0,0,1,0,0,0,0,1067.5059814453125,1,1,1
"Dehejia-Wahba Sample",1,41,1681,68921,4,16,1,0,1,1,0,0,0,0,7284.98583984375,1,1,1
"Dehejia-Wahba Sample",1,42,1764,74088,14,196,1,0,1,0,0,0,0,0,13167.51953125,1,1,1
"Dehejia-Wahba Sample",1,22,484,10648,11,121,0,0,0,1,0,0,0,0,1048.4320068359375,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,8,64,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,29,841,24389,8,64,1,0,0,1,0,0,0,0,1923.93798828125,1,1,1
"Dehejia-Wahba Sample",1,35,1225,42875,10,100,1,0,0,1,0,0,0,0,4666.23583984375,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,11,121,1,0,0,1,0,0,0,0,549.29840087890625,1,1,1
"Dehejia-Wahba Sample",1,29,841,24389,4,16,1,0,0,1,0,0,0,0,762.91461181640625,1,1,1
"Dehejia-Wahba Sample",1,28,784,21952,9,81,1,0,0,1,0,0,0,0,10694.2900390625,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,11,121,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,7,49,0,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,45,2025,91125,5,25,1,0,1,1,0,0,0,0,8546.71484375,1,1,1
"Dehejia-Wahba Sample",1,29,841,24389,13,169,1,0,0,0,0,0,0,0,7479.65576171875,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,9,81,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,46,2116,97336,13,169,1,0,0,0,0,0,0,0,647.20458984375,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,6,36,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,12,144,1,0,0,0,0,0,0,0,11965.8095703125,1,1,1
"Dehejia-Wahba Sample",1,28,784,21952,15,225,1,0,0,0,0,0,0,0,9598.541015625,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,11,121,0,0,0,1,0,0,0,0,18783.349609375,1,1,1
"Dehejia-Wahba Sample",1,22,484,10648,12,144,1,0,0,0,0,0,0,0,18678.080078125,1,1,1
"Dehejia-Wahba Sample",1,21,441,9261,9,81,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,40,1600,64000,11,121,1,0,0,1,0,0,0,0,23005.599609375,1,1,1
"Dehejia-Wahba Sample",1,22,484,10648,11,121,1,0,0,1,0,0,0,0,6456.69677734375,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,12,144,1,0,0,0,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,12,144,1,0,0,0,0,0,0,0,2321.10693359375,1,1,1
"Dehejia-Wahba Sample",1,38,1444,54872,12,144,0,0,0,0,0,0,0,0,4941.84912109375,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,13,169,1,0,0,0,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,27,729,19683,8,64,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,38,1444,54872,11,121,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,23,529,12167,8,64,0,1,0,1,0,0,0,0,3881.283935546875,1,1,1
"Dehejia-Wahba Sample",1,26,676,17576,11,121,1,0,0,1,0,0,0,0,17230.9609375,1,1,1
"Dehejia-Wahba Sample",1,21,441,9261,12,144,0,0,0,0,0,0,0,0,8048.60302734375,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,8,64,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,31,961,29791,11,121,1,0,1,1,0,0,0,0,14509.9296875,1,1,1
"Dehejia-Wahba Sample",1,17,289,4913,10,100,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,11,121,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,21,441,9261,12,144,1,0,0,0,0,0,0,0,9983.7841796875,1,1,1
"Dehejia-Wahba Sample",1,44,1936,85184,11,121,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,12,144,0,0,0,0,0,0,0,0,5587.5029296875,1,1,1
"Dehejia-Wahba Sample",1,18,324,5832,9,81,1,0,0,1,0,0,0,0,4482.84521484375,1,1,1
"Dehejia-Wahba Sample",1,42,1764,74088,12,144,1,0,0,0,0,0,0,0,2456.153076171875,1,1,1
"Dehejia-Wahba Sample",1,25,625,15625,10,100,1,0,0,1,0,0,0,0,0,1,1,1
"Dehejia-Wahba Sample",1,31,961,29791,9,81,0,1,0,1,0,0,0,0,26817.599609375,1,1,1
